Name,URI,Artist,Release Year,Genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
Me Gustas Tu,spotify:track:6b37xrsNCWYIUphFBazqD6,Manu Chao,2001,"latin alternative, world",0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239987,4
Wii Sports,spotify:track:4mn9xkejyNn8EBKhrOf3aW,VGR,2018,"otacore, pixel, vgm remix",0.711,0.627,1,-7.052,0,0.0798,0.000671,0.19,0.514,0.466,127.949,129375,4
Prayer Of The Refugee,spotify:track:4OSbctVD37ycS0H3rwRm72,Rise Against,2006,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",0.2,0.977,3,-3.494,0,0.159,0.00165,1.1e-05,0.259,0.39,195.711,199387,4
Savior,spotify:track:1vcxF91pWs9uNwDROuiCPB,Rise Against,2008,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000139,0.425,0.478,112.488,242280,4
Rock and A Hard Place,spotify:track:1TE8AAk9koG0UJco6ZAUfx,Bailey Zimmerman,2023,"contemporary country, modern country pop",0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,207541,3
Feel No Ways,spotify:track:3cjF2OFRmip8spwZYQRKxP,Drake,2016,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818,240653,4
Time to Pretend,spotify:track:4iG2gAwKXsOcijVaVXzRPW,MGMT,2007,"alternative rock, indie rock, indietronica, modern rock, rock",0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,261000,3
I Would Do Anything for You,spotify:track:5fgb3Md1xjt3mxeBqguiIA,Foster The People,2011,"indietronica, modern alternative rock, modern rock, rock",0.597,0.848,0,-5.841,1,0.0308,0.0372,2.33e-05,0.122,0.437,128.009,214080,4
NO ME QUIERO CASAR,spotify:track:39L3LdlHS3gqB62HPWaJRg,Bad Bunny,2023,"reggaeton, trap latino, urbano latino",0.914,0.698,1,-5.228,1,0.115,0.32,8.76e-06,0.083,0.757,99.011,225655,4
ACHO PR,spotify:track:1C7lXfx4Y5maVl4AgUVlHA,Bad Bunny,2023,"reggaeton, trap latino, urbano latino",0.541,0.796,7,-5.177,1,0.347,0.317,0,0.193,0.469,85.205,359648,4
UN PREVIEW,spotify:track:5ixdmTpCmH5diBA1j154wN,Bad Bunny,2023,"reggaeton, trap latino, urbano latino",0.795,0.815,1,-3.322,1,0.0821,0.0368,3.82e-05,0.227,0.334,94.991,165582,4
Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,spotify:track:6g2BiiVQqY5v1S4HIrM54F,Rodrigo Amarante,2018,nova mpb,0.765,0.497,1,-7.806,0,0.0402,0.492,0.366,0.143,0.457,112.195,151565,4
WHERE SHE GOES,spotify:track:2sTDlCxmuZCTDKKk9f1qus,Bad Bunny,2023,"reggaeton, trap latino, urbano latino",0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,231704,4
What Are You Listening To?,spotify:track:3KZw9g7PNBBx66sHNqme6Z,Chris Stapleton,2013,"contemporary country, outlaw country",0.563,0.553,10,-8.501,1,0.0287,0.19,4.71e-05,0.0967,0.409,161.893,245920,4
Black Out Days - Future Islands Remix,spotify:track:3kxkjirben9RVm9NqYa6rm,Phantogram,2017,"indietronica, metropopolis, neo-synthpop",0.477,0.483,4,-9.413,0,0.0364,0.0027,0.783,0.156,0.123,170.026,248347,4
MONACO,spotify:track:4MjDJD8cW7iVeWInc2Bdyj,Bad Bunny,2023,"reggaeton, trap latino, urbano latino",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,267194,4
Vamonos,spotify:track:3sVp4qJWZ9S24KPDvEE1E7,Moojo,2022,afro house,0.724,0.95,11,-7.229,1,0.0473,0.00985,0.877,0.242,0.58,120.998,412562,4
greedy,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,2023,pop,0.749,0.729,6,-3.19,0,0.0321,0.261,0,0.113,0.816,111.004,131872,1
STRINGS (feat. JVKE & Bazzi),spotify:track:7roB6h5rQPhFRK307eIQk6,MAX,2023,"singer-songwriter pop, teen pop, viral pop",0.667,0.627,1,-7.184,1,0.122,0.248,0,0.174,0.498,143.948,153461,4
Don't Need Friends (feat. Lil Baby),spotify:track:4x3mum2YGHtIBrgUKiNt4F,NAV,2020,"canadian hip hop, canadian trap, melodic rap, rap, trap",0.852,0.674,2,-4.166,1,0.211,0.0123,0,0.126,0.584,130.085,184619,4
Strip My Mind,spotify:track:0J3ytriezGZ3KCREfHKDOI,Red Hot Chili Peppers,2006,"alternative rock, funk metal, funk rock, permanent wave, rock",0.387,0.653,0,-5.067,1,0.0333,0.0265,3.44e-05,0.111,0.262,135.601,259333,4
What a Fool Believes,spotify:track:2yBVeksU2EtrPJbTu4ZslK,The Doobie Brothers,1978,"album rock, classic rock, country rock, folk rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,223867,4
On And On,spotify:track:0Vth3l4XAo8hNYmxjzhr2y,Stephen Bishop,1976,"soft rock, yacht rock",0.57,0.462,11,-10.483,1,0.0283,0.74,0.000223,0.104,0.545,102.3,181893,4
Memory Reboot,spotify:track:1A7qPfbcyRVEdcZiwTFhZI,VØJ,2023,traprun,0.469,0.894,8,-6.341,1,0.0428,0.00024,0.000194,0.125,0.456,81.377,209416,4
You Only Live Once,spotify:track:4fPBB44eDH71YohayI4eKV,The Strokes,2006,"alternative rock, garage rock, modern rock, permanent wave, rock",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,189227,4
Narcoticz (feat. Yung Kayo),spotify:track:6j1FxJKgxzP11CGXycjT0s,Yeat,2022,"pluggnb, rage rap",0.844,0.495,1,-9.636,1,0.32,0.0234,2.65e-06,0.118,0.133,116.965,229933,4
Thank You,spotify:track:3yUcJwYu7fXAfqMj9krY6l,Dido,1999,"dance pop, europop, lilith, neo mellow, pop rock",0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,218360,4
You Are the Right One,spotify:track:2qpacEyFxmbxCpIEqZkqvC,Sports,2015,tulsa indie,0.659,0.594,4,-8.494,0,0.0261,0.162,0.846,0.632,0.851,100.033,172507,4
Hit & Run,spotify:track:4Cl0ism4qfwNTtDbk8K6qm,tobi lou,2023,"chicago rap, indie hip hop, indie r&b",0.562,0.685,4,-7.08,0,0.208,0.0657,8.83e-05,0.478,0.58,142.977,261783,4
Day 1,spotify:track:74muMkVdMYoR65lhmdzy13,Red Velvet,2015,"k-pop, k-pop girl group",0.645,0.884,1,-2.801,1,0.0968,0.112,0,0.179,0.708,171.93,206358,4
IDGAF (feat. Yeat),spotify:track:2YSzYUF3jWqb9YP9VXmpjE,Drake,2023,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.673,0.672,8,-8.577,1,0.224,0.0466,0.000284,0.193,0.14,136.902,260111,4
Workin' Day and Night,spotify:track:6BdiFsPMPkSEEO4fFXFVWX,Michael Jackson,1979,"r&b, soul",0.907,0.875,7,-11.001,1,0.0635,0.0461,0.00349,0.13,0.865,129.797,313693,4
"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",spotify:track:6lIRYe72fn1pf7TNqfI0ul,Cautious Clay,2020,"indie r&b, nyc pop",0.818,0.623,9,-5.901,0,0.043,0.201,0,0.112,0.968,120.104,138000,4
TONY ON THE RADIO,spotify:track:0nmJuIGEzy8Exr9uF10jvx,Igwe Aka,2022,Unknown,0.866,0.691,2,-6.275,1,0.202,0.00134,3.36e-05,0.0768,0.612,163.0,198519,4
TIME&PLACE,spotify:track:7I2SSOnol8GMtxP9kFojdW,Younger Hunger,2023,modern indie pop,0.672,0.724,9,-6.666,1,0.0627,0.00194,0.000244,0.0989,0.886,144.892,173453,4
Whatever It Takes,spotify:track:3nzL5CIQiCEt6jRt1AlQ9d,Lifehouse,2007,"neo mellow, pop rock, post-grunge",0.439,0.874,0,-4.165,1,0.0299,0.00571,0,0.176,0.527,150.036,207240,4
Le Monde - From Talk to Me,spotify:track:4mOMTUl8XiaqILHwh8zm4H,Richard Carter,2023,Unknown,0.769,0.47,11,-13.289,1,0.102,0.139,0.887,0.112,0.496,97.636,134853,3
New Hometown,spotify:track:7BjHAdAqV8qeCgslEI460p,Mike Ryan,2017,"classic texas country, red dirt",0.521,0.784,0,-4.487,1,0.0357,0.0772,0,0.0871,0.482,145.936,197801,4
My Love Mine All Mine,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,2023,"brooklyn indie, pov: indie",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,137773,4
Sister Golden Hair,spotify:track:5VSAonaAPhhGn0G7hMYwWK,America,1975,"album rock, classic rock, folk rock, mellow gold, soft rock",0.441,0.546,4,-12.222,1,0.0336,0.13,0.000144,0.109,0.718,134.752,199573,4
Rocketeer,spotify:track:45sDIKapDyxPl307QpEAwl,Far East Movement,2010,"asian american hip hop, dance pop, pop rap",0.664,0.845,4,-6.115,0,0.0462,0.181,0,0.267,0.357,96.005,211253,4
MELTDOWN (feat. Drake),spotify:track:67nepsnrcZkowTxMWigSbb,Travis Scott,2023,"rap, slap house",0.557,0.774,7,-5.275,0,0.351,0.012,0,0.396,0.397,111.975,246134,4
Thrown Down,spotify:track:4ffoKyYY6ElVpxUpE48jOc,Fleetwood Mac,2003,"album rock, classic rock, rock, soft rock, yacht rock",0.626,0.791,5,-5.735,0,0.0262,0.527,4.04e-05,0.0952,0.864,129.976,240987,4
Telephones,spotify:track:0JIMT9gzLIIz0esKLyjbKf,Vacations,2018,"newcastle nsw indie, pov: indie",0.526,0.447,2,-9.268,1,0.0274,0.00283,0.0301,0.109,0.183,74.995,212432,4
Covet,spotify:track:1AMADyXgIWayh5vXLZo2qF,Basement,2012,"alternative emo, dreamo, emo, zoomergaze",0.428,0.799,4,-6.265,1,0.0468,0.00139,0.0742,0.0788,0.228,139.052,227340,4
Only A Fool Would Say That,spotify:track:7GVvj4zJNVuBJSl6StEfn5,Steely Dan,1972,"album rock, classic rock, country rock, folk rock, mellow gold, rock, soft rock, yacht rock",0.759,0.367,0,-19.024,1,0.0367,0.848,1.12e-06,0.227,0.96,129.882,175274,4
You Make Loving Fun - 2004 Remaster,spotify:track:28H3wOEKsaEa8NBEYCLl4j,Fleetwood Mac,1977,"album rock, classic rock, rock, soft rock, yacht rock",0.625,0.591,7,-9.127,0,0.0265,0.0138,0.0399,0.0893,0.863,126.597,213693,4
Ventura Highway,spotify:track:4IU1RL4BKvFyXtbTwaHAvW,America,1972,"album rock, classic rock, folk rock, mellow gold, soft rock",0.611,0.761,2,-5.929,1,0.0283,0.104,0.0002,0.122,0.838,130.705,211680,4
Not Good At Not,spotify:track:5V4Sx4VKnHwyM6CjZnfce2,Morgan Wallen,2018,contemporary country,0.557,0.814,11,-3.241,1,0.0325,0.242,0,0.114,0.582,143.935,185067,4
Flooded The Face,spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,Lil Uzi Vert,2023,"hip hop, melodic rap, philly rap, rage rap, rap, trap",0.64,0.609,1,-7.714,0,0.304,0.492,2.47e-06,0.152,0.393,131.889,192727,4
On Fire,spotify:track:0KYeTrlyM0oF26jI6fWl4C,Eminem,2010,"detroit hip hop, hip hop, rap",0.722,0.909,8,-4.343,1,0.277,0.101,0,0.415,0.562,91.973,213493,4
Love Game,spotify:track:0iMN420Q45isZVNlAqzPTW,Eminem,2013,"detroit hip hop, hip hop, rap",0.766,0.941,9,-2.546,1,0.18,0.36,0,0.586,0.707,105.52,296953,4
2 Mins of Pain (feat. Alborosie),spotify:track:2NVXBBbO4xGO851zrMfCFi,Sleepy Hallow,2022,"brooklyn drill, nyc rap",0.886,0.434,11,-12.106,0,0.403,0.101,1.22e-06,0.297,0.785,147.995,136696,4
Inside Out,spotify:track:6WlmEymaXKMRs3D2c4j6os,Duster,1998,"corecore, pov: indie, slowcore",0.553,0.465,9,-9.664,1,0.0301,0.84,0.97,0.102,0.652,79.223,141040,4
I Went To The Store One Day,spotify:track:46OdBjlDe1JVm81dmNYdyX,Father John Misty,2015,"art pop, chamber pop, indie rock, stomp and holler",0.315,0.141,3,-17.138,1,0.0407,0.778,2.13e-05,0.115,0.236,144.917,266053,4
Nancy From Now On,spotify:track:77RNVzAVwqWiZrZuWqMV2i,Father John Misty,2012,"art pop, chamber pop, indie rock, stomp and holler",0.535,0.646,0,-9.168,1,0.0278,0.526,0.0406,0.0908,0.501,107.078,234160,4
Summer Breeze,spotify:track:3B0ms7Xlxl16tRztKHpcu9,Seals and Crofts,1972,"album rock, classic rock, folk rock, mellow gold, singer-songwriter, soft rock, yacht rock",0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4
Sara - 2015 Remaster,spotify:track:59rSjZAHfFktNxjtx7oM4H,Fleetwood Mac,1979,"album rock, classic rock, rock, soft rock, yacht rock",0.743,0.484,10,-12.773,1,0.0303,0.284,0.0208,0.158,0.525,126.873,390680,4
Mary Jane's Last Dance,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,Tom Petty and the Heartbreakers,2008,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",0.464,0.654,7,-9.058,0,0.0608,0.0276,1.34e-06,0.328,0.53,169.512,273600,4
Leather and Lace - 2016 Remaster,spotify:track:7kXM2obnaUVl014k00cdhF,Stevie Nicks,1981,heartland rock,0.49,0.432,3,-9.327,1,0.0298,0.639,0,0.104,0.367,153.753,225573,4
You Really Got Me,spotify:track:29SyMC0plk6qw8NMF7lfRL,The Kinks,1964,"album rock, art rock, british invasion, classic rock, folk rock, glam rock, protopunk, psychedelic rock, rock, singer-songwriter",0.575,0.948,8,-6.173,1,0.0945,0.333,0,0.0656,0.948,137.408,131573,4
Change (In the House of Flies),spotify:track:51c94ac31swyDQj9B3Lzs3,Deftones,2000,"alternative metal, nu metal, rap metal, rock, sacramento indie",0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4
Á puttanum,spotify:track:3G9zcwCNAP3am4iRaEcVa6,Bylgjan,2023,Unknown,0.676,0.84,7,-6.825,1,0.0359,0.0038,0.103,0.254,0.676,134.972,245094,4
La leçon particulière,spotify:track:3NWRapFZSlpHXO38LW21rw,Lavern,2023,stutter house,0.821,0.983,2,-5.786,0,0.0587,0.333,0.837,0.156,0.0629,126.018,154286,4
Deuce,spotify:track:7CdNjIaG4TrTAcD5ORDjkg,41,2023,new york drill,0.785,0.645,1,-6.472,1,0.282,0.149,0,0.0801,0.23,136.823,127883,4
Say It,spotify:track:2Gyc6e2cLxA5hoX1NOvYnU,Tory Lanez,2016,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",0.546,0.529,11,-10.511,0,0.0583,0.0869,6.37e-06,0.124,0.248,107.333,237787,4
Open Mic\\Aquarius III,spotify:track:4L6QpiLxCLok9wZfFIdiqF,Logic,2020,"conscious hip hop, hip hop, pop rap, rap",0.751,0.916,0,-3.917,1,0.256,0.169,0,0.366,0.745,89.876,303931,4
Dance No More (with Kaleena Zanders),spotify:track:5IkqbeN8L6DC9kRA7Hp64t,Sunday Scaries,2023,Unknown,0.808,0.902,10,-5.122,0,0.166,0.0196,0.83,0.115,0.796,127.014,202658,4
Akhiyaan,spotify:track:2l3dFxtoSMgMQVyRIUHjpz,Mitraz,2022,desi pop,0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,191869,4
Ruthless (Nice Guys Always Finish Last),spotify:track:6HeCk6yewXH7WO4D93eub9,MarMar Oso,2019,pop r&b,0.724,0.269,5,-15.465,1,0.0456,0.388,0,0.0808,0.866,86.042,233023,4
I Wish You Were Here,spotify:track:7d2RV57UI7JoYnF1emRH6m,Al Green,1975,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul",0.499,0.377,2,-10.224,0,0.0302,0.107,0,0.149,0.351,142.065,198493,4
I'm Still in Love with You,spotify:track:2GEDd9qtGXU7IvGgqTF6Uj,Al Green,1972,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul",0.712,0.393,0,-9.538,1,0.0287,0.158,0.000588,0.0908,0.791,97.918,191636,4
Say When,spotify:track:3lqrCvTI9YRt62FR5JSTom,The Fray,2009,"neo mellow, piano rock, pop, pop rock",0.47,0.676,6,-6.449,0,0.0334,0.153,1.06e-05,0.111,0.298,153.091,301640,4
Várias Queixas,spotify:track:5HFvMPiNjclAq8DbEAPWMw,Gilsons,2019,nova mpb,0.743,0.508,7,-8.024,1,0.0516,0.463,0.000153,0.223,0.256,91.002,170110,4
Lavender Buds,spotify:track:5j42r1PmIbM6fZSe11O08C,MF DOOM,2004,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop, rap",0.482,0.91,5,-8.424,0,0.039,0.00146,0.000652,0.373,0.866,95.232,185187,4
GORGEOUS,spotify:track:4vowH3BCuj5NHsdU4YHeLh,Olivia Knox,2022,Unknown,0.719,0.641,11,-6.59,1,0.054,0.16,0,0.127,0.76,114.99,173808,4
Like Jesus Does,spotify:track:3wxgj5N8ZKoZWHDw6FJUf2,Eric Church,2011,"contemporary country, country, country road",0.575,0.355,1,-8.388,1,0.033,0.444,4.55e-05,0.13,0.298,137.228,198733,4
Make Me Wanna,spotify:track:69DR48pXzSabFUfQfDDJDb,Thomas Rhett,2013,"contemporary country, country, country road, modern country rock",0.545,0.818,9,-6.38,1,0.0541,0.0369,0,0.101,0.679,109.019,225067,3
I Miss You,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,blink-182,2003,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",0.655,0.781,11,-6.547,1,0.034,0.00103,5.33e-06,0.0867,0.584,110.024,227240,4
Dog Days Are Over,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,Florence + The Machine,2009,"baroque pop, modern rock, neo mellow, uk alternative pop",0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,251840,4
One Out Of Two,spotify:track:6rn7yTWf7iuljTIO047WT4,Breakbot,2012,"filter house, funktronica, nu disco",0.868,0.616,5,-7.547,1,0.0324,0.638,0.000246,0.0866,0.654,126.985,217107,4
Away From The Mire,spotify:track:6oPDKGwBri4OLQX5IYu02T,Billy Strings,2019,"jam band, jamgrass, new americana, progressive bluegrass",0.379,0.593,6,-9.113,0,0.0295,0.584,0.00547,0.122,0.511,143.207,463653,4
Raincheck,spotify:track:5NwQfsKBBy6vI4fHboAwME,Jon Pardi,2022,"contemporary country, country, country road, modern country rock",0.659,0.638,6,-6.704,1,0.0242,0.093,0,0.14,0.753,94.978,212280,4
Falling Apart,spotify:track:2b7zdV4i5vEaRlZAkiIAR5,Slow Pulp,2020,"bubblegrunge, chicago indie, countrygaze, midwest shoegaze, nu gaze",0.666,0.558,11,-7.842,1,0.0296,0.402,0.00805,0.135,0.421,146.003,166033,4
Sh’qweyla,spotify:track:5HZDmlOkrOH3CkVPgvfQ9V,Schwey,2019,Unknown,0.838,0.604,11,-5.443,0,0.0582,0.0646,0.0041,0.0698,0.79,109.98,182385,4
Move Your Body,spotify:track:6GomT970rCOkKAyyrwJeZi,Öwnboss,2021,brazilian edm,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,4
Can't Stop (feat. Kanye West),spotify:track:5NWzO9jLluZ3R7FHFDtMqS,Theophilus London,2014,alternative hip hop,0.556,0.662,10,-5.209,1,0.128,0.285,0,0.124,0.385,159.823,291680,4
Harder Than You Think,spotify:track:5YpZh8wfS4moRBk0ijNcXr,Public Enemy,2007,"conscious hip hop, east coast hip hop, golden age hip hop, hardcore hip hop, hip hop, old school hip hop, political hip hop",0.484,0.852,11,-4.442,0,0.274,0.0317,0,0.0547,0.766,103.578,249522,4
Lemonade - Remix,spotify:track:57FNYz14MjKVoRTbxtv4A1,Internet Money,2020,"pop rap, trap",0.832,0.549,1,-8.259,0,0.0602,0.168,0,0.11,0.384,140.045,181496,4
Starlight,spotify:track:2DROU2PMffuPfU5obZRxZs,Jon Pardi,2019,"contemporary country, country, country road, modern country rock",0.639,0.657,0,-5.506,1,0.0257,0.0481,0,0.332,0.529,99.954,201540,4
Being With You,spotify:track:5khAYmr8HHFwI3sp0Lw9wp,Smokey Robinson,1981,"classic soul, disco, funk, motown, quiet storm, soul",0.649,0.434,0,-9.529,0,0.0267,0.764,2.44e-06,0.0822,0.572,108.754,246960,4
HYAENA,spotify:track:0hL9gOw6XBWsygEUcVjxEc,Travis Scott,2023,"rap, slap house",0.608,0.754,8,-5.277,1,0.0719,0.0305,0,0.119,0.455,97.071,222085,4
COLORS (feat. Kodak Black),spotify:track:767iOXvMCZC0W8HcPJm1am,Trippie Redd,2023,"melodic rap, rap, trap",0.911,0.376,8,-8.054,1,0.186,0.289,0,0.104,0.35,140.069,164571,4
NBAYOUNGBOAT,spotify:track:6K2anECyrckidwf5wxS78Q,Lil Yachty,2018,"atl hip hop, melodic rap, rap, trap",0.769,0.807,11,-2.966,1,0.306,0.0515,0,0.111,0.364,82.422,139845,4
pissy pamper,spotify:track:7Fw0htPmu4tsDAUJNvjLXg,Helder Oliveira,2023,Unknown,0.741,0.602,2,-12.084,1,0.297,0.0616,4.35e-06,0.1,0.35,81.482,236192,4
I KNOW ?,spotify:track:6wsqVwoiVH2kde4k4KKAFU,Travis Scott,2023,"rap, slap house",0.927,0.619,5,-4.441,0,0.0539,0.0186,0,0.104,0.817,117.995,211582,4
Classic,spotify:track:1IiX0wRYdfqjZmae3qQqle,ERNEST,2022,modern country pop,0.531,0.578,4,-7.322,1,0.0391,0.707,0.00651,0.0916,0.488,75.055,187893,4
After the Love Has Gone,spotify:track:3cfnGXJ9bmiWvFqEO6ff8B,"Earth, Wind & Fire",1979,"disco, funk, jazz funk, motown, soul",0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,278040,4
Cover Me Up,spotify:track:0mKnuxVkPi5h0kuvZl44VM,Morgan Wallen,2021,contemporary country,0.549,0.44,7,-8.192,1,0.0264,0.232,7.37e-06,0.107,0.214,128.01,293707,3
Flower Shops (feat. Morgan Wallen),spotify:track:2ccuOtUjIyx3tPcsnpeBzJ,ERNEST,2021,modern country pop,0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,214405,3
Down,spotify:track:6cmm1LMvZdB5zsCwX5BjqE,Jay Sean,2009,"dance pop, pop, pop rap, post-teen pop",0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,212507,4
miles (feat. Lil Uzi Vert),spotify:track:2WgoeZDxLJvjEvlOupkr8D,skaiwater,2022,"bedroom r&b, hyperpop, nottingham hip hop",0.443,0.301,6,-11.873,0,0.0377,0.254,0.00216,0.319,0.0483,139.138,162196,4
LOCKD OUT,spotify:track:76isgyOqHRWGb2mL0COomP,PRIMOSUX,2023,Unknown,0.698,0.809,0,-5.331,1,0.0568,0.00267,0.000121,0.179,0.402,143.979,135053,4
Whiskey Friends,spotify:track:2ewSCWOL7EAjgmgqfI1UlS,Morgan Wallen,2023,contemporary country,0.547,0.826,1,-3.916,1,0.0288,0.0669,8.5e-06,0.131,0.579,141.981,205579,4
Man Made A Bar (feat. Eric Church),spotify:track:73zawW1ttszLRgT9By826D,Morgan Wallen,2023,contemporary country,0.501,0.769,4,-5.005,1,0.0298,0.125,0.000184,0.12,0.451,148.006,191231,4
Save Room,spotify:track:3sTc75CCyIw4FPs6cXkOe7,John Legend,2006,"neo soul, pop, pop soul, urban contemporary",0.69,0.572,7,-6.131,1,0.0264,0.0451,0,0.0969,0.375,111.92,235667,4
Chasing Pavements,spotify:track:56pHllZT7QOacB0bP56ofx,Adele,2008,"british soul, pop, pop soul, uk pop",0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03,210507,4
Fallin',spotify:track:0KQx6HOpJueiSkztcS0r7D,Alicia Keys,2001,"neo soul, pop, r&b",0.652,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.986,210200,3
The Way,spotify:track:06EL94D0TA27Ik0Ke5usbj,Ariana Grande,2013,pop,0.645,0.877,5,-3.208,0,0.113,0.294,0,0.0759,0.861,82.324,227027,4
These Girls,spotify:track:2wuvGSWxmbDiwvRL11hw5q,Sticky Fingers,2013,"australian reggae fusion, australian surf rock, reggae fusion",0.358,0.585,6,-8.762,1,0.0784,0.327,2.19e-06,0.0864,0.407,185.681,205787,4
Bobby Boucher,spotify:track:11o9dSwPFk66I8qUEvk8Aj,EARTHGANG,2023,"atl hip hop, indie hip hop, psychedelic hip hop, rap, underground hip hop",0.868,0.675,2,-3.764,1,0.108,0.0193,0,0.123,0.366,138.029,195200,4
Love Me Harder,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,Ariana Grande,2014,pop,0.486,0.712,1,-4.388,0,0.0328,0.00936,0,0.0764,0.244,99.128,236133,4
Honesty,spotify:track:5iteQZfH6xKjrm7tA3cU6h,Billy Joel,2001,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",0.549,0.419,10,-9.295,1,0.0309,0.403,0,0.107,0.232,135.493,230960,4
I Remember - John Summit Remix,spotify:track:3zFsJdVCu29em7VUB3Ujqp,deadmau5,2023,"canadian electronic, complextro, edm, electro house, pop dance, progressive house",0.531,0.855,7,-6.722,1,0.0335,0.00616,0.482,0.191,0.117,126.018,240000,4
FE!N (feat. Playboi Carti),spotify:track:42VsgItocQwOQC3XWZ8JNA,Travis Scott,2023,"rap, slap house",0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,191701,4
Kill Yourself (Part III),spotify:track:0kEZlJh4mK1QRfb3CT5LPk,$uicideboy$,2015,"cloud rap, dark trap, new orleans rap, underground hip hop",0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,145078,4
Better That We Break,spotify:track:1EQoBUXD7EApSye8jmJTTg,Maroon 5,2007,pop,0.52,0.613,0,-3.238,1,0.0267,0.314,0,0.13,0.383,79.914,186307,4
Hurts Me,spotify:track:0RBw4ODUQPO4cuAOZtBGga,Tory Lanez,2023,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",0.553,0.786,8,-5.477,0,0.0325,0.0438,0,0.119,0.673,149.968,140801,4
Too Good to Say Goodbye,spotify:track:0B0tYbVp7pDQAqKDhgMeaL,Bruno Mars,2016,"dance pop, pop",0.587,0.63,2,-6.054,1,0.0311,0.0389,0,0.35,0.433,76.97,281827,4
Money (feat. Juice WRLD & Nicki Minaj),spotify:track:6bFsZCWWJaCyE9uly2NhAH,Young Thug,2023,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",0.764,0.701,8,-4.706,1,0.0394,0.0581,0,0.107,0.63,149.979,266400,4
Let Her Go,spotify:track:1KxwZYyzWNyZSRyErj2ojT,Passenger,2012,"folk-pop, neo mellow",0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.243,74.897,252733,4
Marea (we’ve lost dancing),spotify:track:5Z8Dj3LtbyCMiwE86rhg2f,Fred again..,2021,"edm, house, stutter house",0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,285375,4
